Name , Num_Points , Num_Fibers , Mean_Length , Num_Clamp_Excluded , EstimatedUncertainty.Max , EstimatedUncertainty.Mean , EstimatedUncertainty.Median , EstimatedUncertainty.Min , EstimatedUncertainty.NAN , EstimatedUncertainty.Variance , FA1.Max , FA1.Mean , FA1.Median , FA1.Min , FA1.NAN , FA1.Variance , FA2.Max , FA2.Mean , FA2.Median , FA2.Min , FA2.NAN , FA2.Variance , HemisphereLocataion.Max , HemisphereLocataion.Mean , HemisphereLocataion.Median , HemisphereLocataion.Min , HemisphereLocataion.NAN , HemisphereLocataion.Variance , tensor1.FractionalAnisotropy.Max , tensor1.FractionalAnisotropy.Mean , tensor1.FractionalAnisotropy.Median , tensor1.FractionalAnisotropy.Min , tensor1.FractionalAnisotropy.NAN , tensor1.FractionalAnisotropy.Variance , tensor1.LinearMeasure.Max , tensor1.LinearMeasure.Mean , tensor1.LinearMeasure.Median , tensor1.LinearMeasure.Min , tensor1.LinearMeasure.NAN , tensor1.LinearMeasure.Variance , tensor1.MaxEigenvalue.Max , tensor1.MaxEigenvalue.Mean , tensor1.MaxEigenvalue.Median , tensor1.MaxEigenvalue.Min , tensor1.MaxEigenvalue.NAN , tensor1.MaxEigenvalue.Variance , tensor1.MeanDiffusivity.Max , tensor1.MeanDiffusivity.Mean , tensor1.MeanDiffusivity.Median , tensor1.MeanDiffusivity.Min , tensor1.MeanDiffusivity.NAN , tensor1.MeanDiffusivity.Variance , tensor1.MidEigenvalue.Max , tensor1.MidEigenvalue.Mean , tensor1.MidEigenvalue.Median , tensor1.MidEigenvalue.Min , tensor1.MidEigenvalue.NAN , tensor1.MidEigenvalue.Variance , tensor1.MinEigenvalue.Max , tensor1.MinEigenvalue.Mean , tensor1.MinEigenvalue.Median , tensor1.MinEigenvalue.Min , tensor1.MinEigenvalue.NAN , tensor1.MinEigenvalue.Variance , tensor1.PlanarMeasure.Max , tensor1.PlanarMeasure.Mean , tensor1.PlanarMeasure.Median , tensor1.PlanarMeasure.Min , tensor1.PlanarMeasure.NAN , tensor1.PlanarMeasure.Variance , tensor1.RelativeAnisotropy.Max , tensor1.RelativeAnisotropy.Mean , tensor1.RelativeAnisotropy.Median , tensor1.RelativeAnisotropy.Min , tensor1.RelativeAnisotropy.NAN , tensor1.RelativeAnisotropy.Variance , tensor1.SphericalMeasure.Max , tensor1.SphericalMeasure.Mean , tensor1.SphericalMeasure.Median , tensor1.SphericalMeasure.Min , tensor1.SphericalMeasure.NAN , tensor1.SphericalMeasure.Variance , tensor1.Trace.Max , tensor1.Trace.Mean , tensor1.Trace.Median , tensor1.Trace.Min , tensor1.Trace.NAN , tensor1.Trace.Variance , tensor2.FractionalAnisotropy.Max , tensor2.FractionalAnisotropy.Mean , tensor2.FractionalAnisotropy.Median , tensor2.FractionalAnisotropy.Min , tensor2.FractionalAnisotropy.NAN , tensor2.FractionalAnisotropy.Variance , tensor2.LinearMeasure.Max , tensor2.LinearMeasure.Mean , tensor2.LinearMeasure.Median , tensor2.LinearMeasure.Min , tensor2.LinearMeasure.NAN , tensor2.LinearMeasure.Variance , tensor2.MaxEigenvalue.Max , tensor2.MaxEigenvalue.Mean , tensor2.MaxEigenvalue.Median , tensor2.MaxEigenvalue.Min , tensor2.MaxEigenvalue.NAN , tensor2.MaxEigenvalue.Variance , tensor2.MeanDiffusivity.Max , tensor2.MeanDiffusivity.Mean , tensor2.MeanDiffusivity.Median , tensor2.MeanDiffusivity.Min , tensor2.MeanDiffusivity.NAN , tensor2.MeanDiffusivity.Variance , tensor2.MidEigenvalue.Max , tensor2.MidEigenvalue.Mean , tensor2.MidEigenvalue.Median , tensor2.MidEigenvalue.Min , tensor2.MidEigenvalue.NAN , tensor2.MidEigenvalue.Variance , tensor2.MinEigenvalue.Max , tensor2.MinEigenvalue.Mean , tensor2.MinEigenvalue.Median , tensor2.MinEigenvalue.Min , tensor2.MinEigenvalue.NAN , tensor2.MinEigenvalue.Variance , tensor2.PlanarMeasure.Max , tensor2.PlanarMeasure.Mean , tensor2.PlanarMeasure.Median , tensor2.PlanarMeasure.Min , tensor2.PlanarMeasure.NAN , tensor2.PlanarMeasure.Variance , tensor2.RelativeAnisotropy.Max , tensor2.RelativeAnisotropy.Mean , tensor2.RelativeAnisotropy.Median , tensor2.RelativeAnisotropy.Min , tensor2.RelativeAnisotropy.NAN , tensor2.RelativeAnisotropy.Variance , tensor2.SphericalMeasure.Max , tensor2.SphericalMeasure.Mean , tensor2.SphericalMeasure.Median , tensor2.SphericalMeasure.Min , tensor2.SphericalMeasure.NAN , tensor2.SphericalMeasure.Variance , tensor2.Trace.Max , tensor2.Trace.Mean , tensor2.Trace.Median , tensor2.Trace.Min , tensor2.Trace.NAN , tensor2.Trace.Variance , trace1.Max , trace1.Mean , trace1.Median , trace1.Min , trace1.NAN , trace1.Variance , trace2.Max , trace2.Mean , trace2.Median , trace2.Min , trace2.NAN , trace2.Variance
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00001.vtp , 23368.000000 , 267.000000 , 77.251989 , 0.000000 , 9862.620117 , 4138.707908 , 4245.377441 , 0.031623 , 0.000000 , 4607631.416845 , 0.884435 , 0.462286 , 0.475156 , 0.080101 , 0.000000 , 0.035927 , 0.811578 , 0.339860 , 0.335902 , 0.000040 , 0.000000 , 0.033510 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.884435 , 0.462286 , 0.475156 , 0.080101 , 0.000000 , 0.035927 , 0.894268 , 0.535333 , 0.559732 , 0.127242 , 0.000000 , 0.030968 , 0.001225 , 0.000947 , 0.000962 , 0.000516 , 0.000000 , 0.000000 , 0.000847 , 0.000597 , 0.000590 , 0.000419 , 0.000000 , 0.000000 , 0.000779 , 0.000422 , 0.000413 , 0.000119 , 0.000000 , 0.000000 , 0.000779 , 0.000422 , 0.000413 , 0.000119 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.738171 , 0.303482 , 0.297645 , 0.046346 , 0.000000 , 0.021133 , 0.872758 , 0.464667 , 0.440268 , 0.105732 , 0.000000 , 0.030968 , 0.002540 , 0.001791 , 0.001769 , 0.001256 , 0.000000 , 0.000000 , 0.811578 , 0.339860 , 0.335902 , 0.000040 , 0.000000 , 0.033510 , 0.833717 , 0.397037 , 0.425732 , 0.000000 , 0.000000 , 0.044952 , 0.001259 , 0.000890 , 0.000874 , 0.000548 , 0.000000 , 0.000000 , 0.000928 , 0.000636 , 0.000631 , 0.000452 , 0.000000 , 0.000000 , 0.001033 , 0.000517 , 0.000503 , 0.000187 , 0.000000 , 0.000000 , 0.000849 , 0.000500 , 0.000493 , 0.000187 , 0.000000 , 0.000000 , 0.719400 , 0.020927 , 0.000000 , 0.000000 , 0.000000 , 0.007101 , 0.625647 , 0.213046 , 0.201666 , 0.000023 , 0.000000 , 0.015497 , 0.999930 , 0.582036 , 0.564353 , 0.166283 , 0.000000 , 0.035434 , 0.002785 , 0.001908 , 0.001892 , 0.001355 , 0.000000 , 0.000000 , 0.000507 , 0.000360 , 0.000360 , 0.000251 , 0.000000 , 0.000000 , 0.000470 , 0.000338 , 0.000337 , 0.000229 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00002.vtp , 38247.000000 , 368.000000 , 92.023683 , 0.000000 , 10917.122070 , 4380.229404 , 4665.913086 , 0.031623 , 0.000000 , 4503611.585002 , 0.856118 , 0.407407 , 0.412932 , 0.080033 , 0.000000 , 0.025955 , 0.931362 , 0.481109 , 0.468717 , 0.000131 , 0.000000 , 0.050275 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.856118 , 0.407407 , 0.412932 , 0.080033 , 0.000000 , 0.025955 , 0.870382 , 0.487832 , 0.504293 , 0.127143 , 0.000000 , 0.023664 , 0.001702 , 0.000969 , 0.000961 , 0.000123 , 0.000000 , 0.000000 , 0.001230 , 0.000642 , 0.000624 , 0.000107 , 0.000000 , 0.000000 , 0.001053 , 0.000478 , 0.000475 , 0.000100 , 0.000000 , 0.000000 , 0.001053 , 0.000478 , 0.000475 , 0.000100 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.691199 , 0.258440 , 0.253234 , 0.046306 , 0.000000 , 0.013662 , 0.872857 , 0.512168 , 0.495707 , 0.129618 , 0.000000 , 0.023664 , 0.003691 , 0.001926 , 0.001872 , 0.000322 , 0.000000 , 0.000000 , 0.931901 , 0.481111 , 0.468717 , 0.000131 , 0.000000 , 0.050276 , 0.935741 , 0.549169 , 0.554121 , 0.000000 , 0.000000 , 0.042212 , 0.001680 , 0.001017 , 0.000999 , 0.000313 , 0.000000 , 0.000000 , 0.001148 , 0.000620 , 0.000601 , 0.000288 , 0.000000 , 0.000000 , 0.000961 , 0.000421 , 0.000428 , 0.000098 , 0.000000 , 0.000000 , 0.000961 , 0.000421 , 0.000428 , 0.000098 , 0.000000 , 0.000000 , 0.218594 , 0.000083 , 0.000000 , 0.000000 , 0.000000 , 0.000007 , 0.829178 , 0.328807 , 0.292913 , 0.000075 , 0.000000 , 0.036475 , 0.999774 , 0.450748 , 0.445879 , 0.064259 , 0.000000 , 0.042128 , 0.003443 , 0.001859 , 0.001804 , 0.000864 , 0.000000 , 0.000000 , 0.001972 , 0.000338 , 0.000340 , 0.000173 , 0.000000 , 0.000000 , 0.000737 , 0.000348 , 0.000353 , 0.000185 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00003.vtp , 72350.000000 , 759.000000 , 84.273968 , 0.000000 , 9927.161133 , 4403.232310 , 4768.592041 , 0.031623 , 0.000000 , 4508553.352382 , 0.890250 , 0.470577 , 0.468827 , 0.080015 , 0.000000 , 0.043959 , 0.903360 , 0.276140 , 0.248036 , 0.000002 , 0.000000 , 0.029576 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.890250 , 0.470577 , 0.468827 , 0.080015 , 0.000000 , 0.043959 , 0.899242 , 0.540658 , 0.554217 , 0.127117 , 0.000000 , 0.036986 , 0.001312 , 0.000946 , 0.000951 , 0.000411 , 0.000000 , 0.000000 , 0.000917 , 0.000591 , 0.000588 , 0.000295 , 0.000000 , 0.000000 , 0.000830 , 0.000413 , 0.000424 , 0.000117 , 0.000000 , 0.000000 , 0.000830 , 0.000413 , 0.000424 , 0.000117 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.748424 , 0.314245 , 0.292994 , 0.046296 , 0.000000 , 0.027139 , 0.872883 , 0.459342 , 0.445783 , 0.100758 , 0.000000 , 0.036986 , 0.002751 , 0.001773 , 0.001764 , 0.000886 , 0.000000 , 0.000000 , 0.903360 , 0.276140 , 0.248036 , 0.000002 , 0.000000 , 0.029576 , 0.910558 , 0.322493 , 0.328941 , 0.000000 , 0.000000 , 0.044582 , 0.001420 , 0.000870 , 0.000845 , 0.000367 , 0.000000 , 0.000000 , 0.000969 , 0.000663 , 0.000658 , 0.000301 , 0.000000 , 0.000000 , 0.001000 , 0.000572 , 0.000562 , 0.000117 , 0.000000 , 0.000000 , 0.000904 , 0.000547 , 0.000549 , 0.000117 , 0.000000 , 0.000000 , 0.660503 , 0.030836 , 0.000000 , 0.000000 , 0.000000 , 0.008144 , 0.772390 , 0.170542 , 0.146234 , 0.000001 , 0.000000 , 0.013532 , 0.999997 , 0.646671 , 0.653440 , 0.089442 , 0.000000 , 0.032837 , 0.002907 , 0.001989 , 0.001973 , 0.000903 , 0.000000 , 0.000000 , 0.000719 , 0.000364 , 0.000361 , 0.000232 , 0.000000 , 0.000000 , 0.000705 , 0.000325 , 0.000323 , 0.000219 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00004.vtp , 0.000000 , 0.000000 , NAN , 0.000000 , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00005.vtp , 7017.000000 , 111.000000 , 55.380849 , 0.000000 , 10030.886719 , 3398.727614 , 3430.207764 , 0.031623 , 0.000000 , 3768284.293650 , 0.914035 , 0.272633 , 0.253606 , 0.080030 , 0.000000 , 0.015431 , 0.927065 , 0.335394 , 0.293453 , 0.000691 , 0.000000 , 0.036097 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.914035 , 0.272633 , 0.253606 , 0.080030 , 0.000000 , 0.015431 , 0.919883 , 0.356122 , 0.345555 , 0.127138 , 0.000000 , 0.016814 , 0.001635 , 0.000854 , 0.000821 , 0.000594 , 0.000000 , 0.000000 , 0.001149 , 0.000647 , 0.000625 , 0.000460 , 0.000000 , 0.000000 , 0.001011 , 0.000543 , 0.000532 , 0.000104 , 0.000000 , 0.000000 , 0.001011 , 0.000543 , 0.000532 , 0.000104 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.792843 , 0.164903 , 0.149663 , 0.046304 , 0.000000 , 0.006876 , 0.872862 , 0.643878 , 0.654445 , 0.080117 , 0.000000 , 0.016814 , 0.003447 , 0.001940 , 0.001874 , 0.001381 , 0.000000 , 0.000000 , 0.927522 , 0.335394 , 0.293453 , 0.000691 , 0.000000 , 0.036098 , 0.931823 , 0.412370 , 0.387653 , 0.000000 , 0.000000 , 0.034339 , 0.001643 , 0.000876 , 0.000832 , 0.000594 , 0.000000 , 0.000000 , 0.000960 , 0.000621 , 0.000600 , 0.000421 , 0.000000 , 0.000000 , 0.000998 , 0.000494 , 0.000497 , 0.000098 , 0.000000 , 0.000000 , 0.000917 , 0.000493 , 0.000497 , 0.000098 , 0.000000 , 0.000000 , 0.521593 , 0.000702 , 0.000000 , 0.000000 , 0.000000 , 0.000288 , 0.820012 , 0.213694 , 0.174509 , 0.000399 , 0.000000 , 0.020698 , 0.998804 , 0.586928 , 0.611702 , 0.068177 , 0.000000 , 0.034049 , 0.002880 , 0.001863 , 0.001801 , 0.001262 , 0.000000 , 0.000000 , 0.000461 , 0.000335 , 0.000340 , 0.000185 , 0.000000 , 0.000000 , 0.000505 , 0.000347 , 0.000354 , 0.000221 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00006.vtp , 9053.000000 , 77.000000 , 104.299580 , 0.000000 , 13113.549805 , 4610.315139 , 4956.499023 , 0.031623 , 0.000000 , 4702222.168996 , 0.862098 , 0.417837 , 0.409255 , 0.080367 , 0.000000 , 0.033064 , 0.877837 , 0.377845 , 0.378822 , 0.000000 , 0.000000 , 0.034679 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.862098 , 0.417837 , 0.409255 , 0.080367 , 0.000000 , 0.033064 , 0.875383 , 0.495295 , 0.500925 , 0.127630 , 0.000000 , 0.029185 , 0.001706 , 0.000966 , 0.000968 , 0.000497 , 0.000000 , 0.000000 , 0.001358 , 0.000638 , 0.000618 , 0.000349 , 0.000000 , 0.000000 , 0.001255 , 0.000475 , 0.000468 , 0.000124 , 0.000000 , 0.000000 , 0.001255 , 0.000475 , 0.000468 , 0.000124 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.700736 , 0.269256 , 0.250694 , 0.046500 , 0.000000 , 0.018607 , 0.872370 , 0.504705 , 0.499075 , 0.124617 , 0.000000 , 0.029185 , 0.004074 , 0.001915 , 0.001855 , 0.001046 , 0.000000 , 0.000000 , 0.877837 , 0.377865 , 0.378822 , 0.000103 , 0.000000 , 0.034672 , 0.888654 , 0.437854 , 0.469636 , 0.000000 , 0.000000 , 0.042921 , 0.001350 , 0.000938 , 0.000927 , 0.000091 , 0.000000 , 0.000000 , 0.001034 , 0.000644 , 0.000636 , 0.000091 , 0.000000 , 0.000000 , 0.001008 , 0.000504 , 0.000496 , 0.000080 , 0.000000 , 0.000000 , 0.000990 , 0.000490 , 0.000486 , 0.000080 , 0.000000 , 0.000000 , 0.693573 , 0.019387 , 0.000000 , 0.000000 , 0.000000 , 0.007711 , 0.726801 , 0.240959 , 0.229992 , 0.000060 , 0.000000 , 0.018570 , 0.999821 , 0.542759 , 0.524730 , 0.111346 , 0.000000 , 0.033653 , 0.003101 , 0.001931 , 0.001907 , 0.000272 , 0.000000 , 0.000000 , 0.000609 , 0.000342 , 0.000343 , 0.000156 , 0.000000 , 0.000000 , 0.002123 , 0.000339 , 0.000334 , 0.000205 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00007.vtp , 34584.000000 , 306.000000 , 100.204855 , 0.000000 , 11125.005859 , 5324.574958 , 5911.744873 , 0.031623 , 0.000000 , 6628943.728942 , 0.868421 , 0.402960 , 0.402347 , 0.080068 , 0.000000 , 0.031276 , 0.895489 , 0.421363 , 0.430198 , 0.000080 , 0.000000 , 0.041346 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.868421 , 0.402960 , 0.402347 , 0.080068 , 0.000000 , 0.031276 , 0.880695 , 0.481301 , 0.494565 , 0.127195 , 0.000000 , 0.028586 , 0.001636 , 0.000979 , 0.001002 , 0.000484 , 0.000000 , 0.000000 , 0.001370 , 0.000653 , 0.000640 , 0.000420 , 0.000000 , 0.000000 , 0.001303 , 0.000490 , 0.000487 , 0.000143 , 0.000000 , 0.000000 , 0.001303 , 0.000490 , 0.000487 , 0.000143 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.711035 , 0.257237 , 0.245946 , 0.046327 , 0.000000 , 0.016553 , 0.872805 , 0.518699 , 0.505435 , 0.119305 , 0.000000 , 0.028586 , 0.004111 , 0.001958 , 0.001920 , 0.001261 , 0.000000 , 0.000000 , 0.895489 , 0.421363 , 0.430198 , 0.000080 , 0.000000 , 0.041346 , 0.903748 , 0.493541 , 0.519965 , 0.000000 , 0.000000 , 0.038582 , 0.001568 , 0.001000 , 0.001020 , 0.000384 , 0.000000 , 0.000000 , 0.001076 , 0.000650 , 0.000642 , 0.000362 , 0.000000 , 0.000000 , 0.000937 , 0.000475 , 0.000483 , 0.000119 , 0.000000 , 0.000000 , 0.000937 , 0.000475 , 0.000483 , 0.000119 , 0.000000 , 0.000000 , 0.408046 , 0.001144 , 0.000000 , 0.000000 , 0.000000 , 0.000223 , 0.757856 , 0.274841 , 0.265279 , 0.000046 , 0.000000 , 0.023282 , 0.999862 , 0.505315 , 0.480035 , 0.096252 , 0.000000 , 0.037676 , 0.003227 , 0.001950 , 0.001927 , 0.001085 , 0.000000 , 0.000000 , 0.000505 , 0.000332 , 0.000332 , 0.000155 , 0.000000 , 0.000000 , 0.000587 , 0.000332 , 0.000330 , 0.000197 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00008.vtp , 21105.000000 , 211.000000 , 88.506690 , 0.000000 , 9363.205078 , 4258.977945 , 4500.275391 , 0.031623 , 0.000000 , 4302493.594171 , 0.886676 , 0.432640 , 0.438387 , 0.080447 , 0.000000 , 0.026399 , 0.926488 , 0.418302 , 0.421882 , 0.000048 , 0.000000 , 0.036049 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.886676 , 0.432640 , 0.438387 , 0.080447 , 0.000000 , 0.026399 , 0.896182 , 0.511508 , 0.527316 , 0.127747 , 0.000000 , 0.023293 , 0.001280 , 0.000939 , 0.000948 , 0.000146 , 0.000000 , 0.000000 , 0.000903 , 0.000610 , 0.000605 , 0.000116 , 0.000000 , 0.000000 , 0.000835 , 0.000446 , 0.000443 , 0.000101 , 0.000000 , 0.000000 , 0.000835 , 0.000446 , 0.000443 , 0.000101 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.742096 , 0.276966 , 0.271063 , 0.046546 , 0.000000 , 0.014446 , 0.872253 , 0.488492 , 0.472684 , 0.103818 , 0.000000 , 0.023293 , 0.002710 , 0.001830 , 0.001815 , 0.000349 , 0.000000 , 0.000000 , 0.926488 , 0.418302 , 0.421882 , 0.000048 , 0.000000 , 0.036049 , 0.930901 , 0.483323 , 0.511838 , 0.000000 , 0.000000 , 0.040251 , 0.001675 , 0.000983 , 0.000962 , 0.000424 , 0.000000 , 0.000000 , 0.001085 , 0.000646 , 0.000629 , 0.000295 , 0.000000 , 0.000000 , 0.001101 , 0.000483 , 0.000463 , 0.000099 , 0.000000 , 0.000000 , 0.000930 , 0.000472 , 0.000461 , 0.000099 , 0.000000 , 0.000000 , 0.692727 , 0.012231 , 0.000000 , 0.000000 , 0.000000 , 0.004439 , 0.817873 , 0.271462 , 0.259452 , 0.000028 , 0.000000 , 0.021714 , 0.999916 , 0.504446 , 0.486476 , 0.069099 , 0.000000 , 0.032867 , 0.003254 , 0.001938 , 0.001886 , 0.000885 , 0.000000 , 0.000000 , 0.001827 , 0.000353 , 0.000351 , 0.000235 , 0.000000 , 0.000000 , 0.000719 , 0.000334 , 0.000338 , 0.000196 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00009.vtp , 0.000000 , 0.000000 , NAN , 0.000000 , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN
/home/ubuntu/data/sub-NDARINVTJZ4N3G9/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00010.vtp , 11628.000000 , 136.000000 , 75.433744 , 0.000000 , 9199.684570 , 4135.775675 , 4271.207764 , 0.031623 , 0.000000 , 4636863.738495 , 0.879649 , 0.432255 , 0.422716 , 0.080131 , 0.000000 , 0.040388 , 0.815857 , 0.296261 , 0.282637 , 0.000048 , 0.000000 , 0.025848 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.879649 , 0.432255 , 0.422716 , 0.080131 , 0.000000 , 0.040388 , 0.890193 , 0.506405 , 0.513202 , 0.127286 , 0.000000 , 0.034918 , 0.001217 , 0.000902 , 0.000892 , 0.000606 , 0.000000 , 0.000000 , 0.000924 , 0.000586 , 0.000585 , 0.000398 , 0.000000 , 0.000000 , 0.000836 , 0.000428 , 0.000436 , 0.000124 , 0.000000 , 0.000000 , 0.000836 , 0.000428 , 0.000436 , 0.000124 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.729896 , 0.283454 , 0.260034 , 0.046363 , 0.000000 , 0.024073 , 0.872714 , 0.493595 , 0.486798 , 0.109808 , 0.000000 , 0.034918 , 0.002771 , 0.001758 , 0.001754 , 0.001194 , 0.000000 , 0.000000 , 0.815857 , 0.296261 , 0.282637 , 0.000048 , 0.000000 , 0.025848 , 0.837201 , 0.362914 , 0.374579 , 0.000000 , 0.000000 , 0.034171 , 0.001193 , 0.000875 , 0.000871 , 0.000587 , 0.000000 , 0.000000 , 0.001008 , 0.000652 , 0.000643 , 0.000443 , 0.000000 , 0.000000 , 0.001166 , 0.000545 , 0.000536 , 0.000183 , 0.000000 , 0.000000 , 0.000911 , 0.000534 , 0.000531 , 0.000183 , 0.000000 , 0.000000 , 0.716911 , 0.012769 , 0.000000 , 0.000000 , 0.000000 , 0.003829 , 0.631564 , 0.182263 , 0.167707 , 0.000028 , 0.000000 , 0.011504 , 0.999917 , 0.624317 , 0.622423 , 0.162799 , 0.000000 , 0.028731 , 0.003024 , 0.001955 , 0.001928 , 0.001328 , 0.000000 , 0.000000 , 0.000533 , 0.000368 , 0.000363 , 0.000230 , 0.000000 , 0.000000 , 0.000480 , 0.000331 , 0.000330 , 0.000211 , 0.000000 , 0.000000
