Name , Num_Points , Num_Fibers , Mean_Length , Num_Clamp_Excluded , EstimatedUncertainty.Max , EstimatedUncertainty.Mean , EstimatedUncertainty.Median , EstimatedUncertainty.Min , EstimatedUncertainty.NAN , EstimatedUncertainty.Variance , FA1.Max , FA1.Mean , FA1.Median , FA1.Min , FA1.NAN , FA1.Variance , FA2.Max , FA2.Mean , FA2.Median , FA2.Min , FA2.NAN , FA2.Variance , HemisphereLocataion.Max , HemisphereLocataion.Mean , HemisphereLocataion.Median , HemisphereLocataion.Min , HemisphereLocataion.NAN , HemisphereLocataion.Variance , tensor1.FractionalAnisotropy.Max , tensor1.FractionalAnisotropy.Mean , tensor1.FractionalAnisotropy.Median , tensor1.FractionalAnisotropy.Min , tensor1.FractionalAnisotropy.NAN , tensor1.FractionalAnisotropy.Variance , tensor1.LinearMeasure.Max , tensor1.LinearMeasure.Mean , tensor1.LinearMeasure.Median , tensor1.LinearMeasure.Min , tensor1.LinearMeasure.NAN , tensor1.LinearMeasure.Variance , tensor1.MaxEigenvalue.Max , tensor1.MaxEigenvalue.Mean , tensor1.MaxEigenvalue.Median , tensor1.MaxEigenvalue.Min , tensor1.MaxEigenvalue.NAN , tensor1.MaxEigenvalue.Variance , tensor1.MeanDiffusivity.Max , tensor1.MeanDiffusivity.Mean , tensor1.MeanDiffusivity.Median , tensor1.MeanDiffusivity.Min , tensor1.MeanDiffusivity.NAN , tensor1.MeanDiffusivity.Variance , tensor1.MidEigenvalue.Max , tensor1.MidEigenvalue.Mean , tensor1.MidEigenvalue.Median , tensor1.MidEigenvalue.Min , tensor1.MidEigenvalue.NAN , tensor1.MidEigenvalue.Variance , tensor1.MinEigenvalue.Max , tensor1.MinEigenvalue.Mean , tensor1.MinEigenvalue.Median , tensor1.MinEigenvalue.Min , tensor1.MinEigenvalue.NAN , tensor1.MinEigenvalue.Variance , tensor1.PlanarMeasure.Max , tensor1.PlanarMeasure.Mean , tensor1.PlanarMeasure.Median , tensor1.PlanarMeasure.Min , tensor1.PlanarMeasure.NAN , tensor1.PlanarMeasure.Variance , tensor1.RelativeAnisotropy.Max , tensor1.RelativeAnisotropy.Mean , tensor1.RelativeAnisotropy.Median , tensor1.RelativeAnisotropy.Min , tensor1.RelativeAnisotropy.NAN , tensor1.RelativeAnisotropy.Variance , tensor1.SphericalMeasure.Max , tensor1.SphericalMeasure.Mean , tensor1.SphericalMeasure.Median , tensor1.SphericalMeasure.Min , tensor1.SphericalMeasure.NAN , tensor1.SphericalMeasure.Variance , tensor1.Trace.Max , tensor1.Trace.Mean , tensor1.Trace.Median , tensor1.Trace.Min , tensor1.Trace.NAN , tensor1.Trace.Variance , tensor2.FractionalAnisotropy.Max , tensor2.FractionalAnisotropy.Mean , tensor2.FractionalAnisotropy.Median , tensor2.FractionalAnisotropy.Min , tensor2.FractionalAnisotropy.NAN , tensor2.FractionalAnisotropy.Variance , tensor2.LinearMeasure.Max , tensor2.LinearMeasure.Mean , tensor2.LinearMeasure.Median , tensor2.LinearMeasure.Min , tensor2.LinearMeasure.NAN , tensor2.LinearMeasure.Variance , tensor2.MaxEigenvalue.Max , tensor2.MaxEigenvalue.Mean , tensor2.MaxEigenvalue.Median , tensor2.MaxEigenvalue.Min , tensor2.MaxEigenvalue.NAN , tensor2.MaxEigenvalue.Variance , tensor2.MeanDiffusivity.Max , tensor2.MeanDiffusivity.Mean , tensor2.MeanDiffusivity.Median , tensor2.MeanDiffusivity.Min , tensor2.MeanDiffusivity.NAN , tensor2.MeanDiffusivity.Variance , tensor2.MidEigenvalue.Max , tensor2.MidEigenvalue.Mean , tensor2.MidEigenvalue.Median , tensor2.MidEigenvalue.Min , tensor2.MidEigenvalue.NAN , tensor2.MidEigenvalue.Variance , tensor2.MinEigenvalue.Max , tensor2.MinEigenvalue.Mean , tensor2.MinEigenvalue.Median , tensor2.MinEigenvalue.Min , tensor2.MinEigenvalue.NAN , tensor2.MinEigenvalue.Variance , tensor2.PlanarMeasure.Max , tensor2.PlanarMeasure.Mean , tensor2.PlanarMeasure.Median , tensor2.PlanarMeasure.Min , tensor2.PlanarMeasure.NAN , tensor2.PlanarMeasure.Variance , tensor2.RelativeAnisotropy.Max , tensor2.RelativeAnisotropy.Mean , tensor2.RelativeAnisotropy.Median , tensor2.RelativeAnisotropy.Min , tensor2.RelativeAnisotropy.NAN , tensor2.RelativeAnisotropy.Variance , tensor2.SphericalMeasure.Max , tensor2.SphericalMeasure.Mean , tensor2.SphericalMeasure.Median , tensor2.SphericalMeasure.Min , tensor2.SphericalMeasure.NAN , tensor2.SphericalMeasure.Variance , tensor2.Trace.Max , tensor2.Trace.Mean , tensor2.Trace.Median , tensor2.Trace.Min , tensor2.Trace.NAN , tensor2.Trace.Variance , trace1.Max , trace1.Mean , trace1.Median , trace1.Min , trace1.NAN , trace1.Variance , trace2.Max , trace2.Mean , trace2.Median , trace2.Min , trace2.NAN , trace2.Variance
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00001.vtp , 13306.000000 , 155.000000 , 75.743355 , 0.000000 , 8439.285156 , 3988.000184 , 4135.731934 , 0.031623 , 0.000000 , 3982480.194399 , 0.911266 , 0.462442 , 0.447759 , 0.080017 , 0.000000 , 0.053271 , 0.874992 , 0.312218 , 0.290396 , 0.000242 , 0.000000 , 0.026354 , 1.000000 , 1.000000 , 1.000000 , 1.000000 , 0.000000 , 0.000000 , 0.911266 , 0.462442 , 0.447759 , 0.080017 , 0.000000 , 0.053271 , 0.917454 , 0.530358 , 0.535668 , 0.127120 , 0.000000 , 0.045130 , 0.001351 , 0.000941 , 0.000953 , 0.000531 , 0.000000 , 0.000000 , 0.000887 , 0.000591 , 0.000582 , 0.000387 , 0.000000 , 0.000000 , 0.000801 , 0.000417 , 0.000429 , 0.000100 , 0.000000 , 0.000000 , 0.000801 , 0.000417 , 0.000429 , 0.000100 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.787453 , 0.313433 , 0.277741 , 0.046297 , 0.000000 , 0.034683 , 0.872880 , 0.469642 , 0.464332 , 0.082546 , 0.000000 , 0.045130 , 0.002662 , 0.001774 , 0.001747 , 0.001162 , 0.000000 , 0.000000 , 0.874992 , 0.312218 , 0.290396 , 0.000242 , 0.000000 , 0.026354 , 0.886243 , 0.373469 , 0.374838 , 0.000000 , 0.000000 , 0.035328 , 0.001193 , 0.000867 , 0.000864 , 0.000519 , 0.000000 , 0.000000 , 0.000871 , 0.000635 , 0.000640 , 0.000399 , 0.000000 , 0.000000 , 0.000916 , 0.000526 , 0.000532 , 0.000126 , 0.000000 , 0.000000 , 0.000813 , 0.000511 , 0.000521 , 0.000126 , 0.000000 , 0.000000 , 0.618555 , 0.021103 , 0.000000 , 0.000000 , 0.000000 , 0.007823 , 0.721981 , 0.193452 , 0.172582 , 0.000139 , 0.000000 , 0.012696 , 0.999582 , 0.605428 , 0.611718 , 0.113757 , 0.000000 , 0.027388 , 0.002612 , 0.001904 , 0.001919 , 0.001197 , 0.000000 , 0.000000 , 0.000548 , 0.000367 , 0.000365 , 0.000239 , 0.000000 , 0.000000 , 0.000532 , 0.000339 , 0.000332 , 0.000244 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00002.vtp , 12995.000000 , 126.000000 , 91.303362 , 0.000000 , 9988.701172 , 4453.943204 , 4644.797852 , 0.031623 , 0.000000 , 5125497.323380 , 0.892949 , 0.369497 , 0.353023 , 0.080128 , 0.000000 , 0.032878 , 0.909270 , 0.406295 , 0.394408 , 0.001316 , 0.000000 , 0.040178 , 1.000000 , 1.000000 , 1.000000 , 1.000000 , 0.000000 , 0.000000 , 0.893061 , 0.369497 , 0.353023 , 0.080128 , 0.000000 , 0.032878 , 0.901657 , 0.448235 , 0.447888 , 0.127281 , 0.000000 , 0.030710 , 0.001209 , 0.000903 , 0.000910 , 0.000299 , 0.000000 , 0.000000 , 0.001004 , 0.000625 , 0.000617 , 0.000220 , 0.000000 , 0.000000 , 0.000954 , 0.000485 , 0.000481 , 0.000099 , 0.000000 , 0.000000 , 0.000954 , 0.000485 , 0.000481 , 0.000099 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.753461 , 0.234734 , 0.212852 , 0.046361 , 0.000000 , 0.017581 , 0.872719 , 0.551765 , 0.552112 , 0.098343 , 0.000000 , 0.030710 , 0.003013 , 0.001874 , 0.001852 , 0.000659 , 0.000000 , 0.000000 , 0.909270 , 0.406295 , 0.394408 , 0.001316 , 0.000000 , 0.040178 , 0.915708 , 0.478267 , 0.487205 , 0.000000 , 0.000000 , 0.038602 , 0.001607 , 0.000954 , 0.000945 , 0.000408 , 0.000000 , 0.000000 , 0.001058 , 0.000634 , 0.000613 , 0.000301 , 0.000000 , 0.000000 , 0.001035 , 0.000474 , 0.000463 , 0.000111 , 0.000000 , 0.000000 , 0.000929 , 0.000472 , 0.000462 , 0.000111 , 0.000000 , 0.000000 , 0.574643 , 0.003322 , 0.000000 , 0.000000 , 0.000000 , 0.000993 , 0.783604 , 0.264311 , 0.240525 , 0.000760 , 0.000000 , 0.023659 , 0.997724 , 0.518411 , 0.512529 , 0.084292 , 0.000000 , 0.036417 , 0.003174 , 0.001901 , 0.001840 , 0.000902 , 0.000000 , 0.000000 , 0.000967 , 0.000347 , 0.000344 , 0.000211 , 0.000000 , 0.000000 , 0.000706 , 0.000343 , 0.000346 , 0.000201 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00003.vtp , 30250.000000 , 332.000000 , 80.486989 , 0.000000 , 9589.747070 , 4014.610132 , 4212.494873 , 0.031623 , 0.000000 , 3865573.526823 , 0.915909 , 0.479130 , 0.461207 , 0.080019 , 0.000000 , 0.054304 , 0.877466 , 0.288876 , 0.280697 , 0.000019 , 0.000000 , 0.023220 , 1.000000 , 1.000000 , 1.000000 , 1.000000 , 0.000000 , 0.000000 , 0.915909 , 0.479130 , 0.461207 , 0.080019 , 0.000000 , 0.054304 , 0.921531 , 0.545654 , 0.547543 , 0.127122 , 0.000000 , 0.045280 , 0.001385 , 0.000958 , 0.000949 , 0.000582 , 0.000000 , 0.000000 , 0.000999 , 0.000592 , 0.000584 , 0.000401 , 0.000000 , 0.000000 , 0.000876 , 0.000409 , 0.000425 , 0.000100 , 0.000000 , 0.000000 , 0.000876 , 0.000409 , 0.000425 , 0.000100 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.796526 , 0.327485 , 0.287437 , 0.046298 , 0.000000 , 0.036242 , 0.872878 , 0.454346 , 0.452457 , 0.078469 , 0.000000 , 0.045280 , 0.002997 , 0.001777 , 0.001752 , 0.001202 , 0.000000 , 0.000000 , 0.877466 , 0.288876 , 0.280697 , 0.000019 , 0.000000 , 0.023220 , 0.888339 , 0.318081 , 0.346634 , 0.000000 , 0.000000 , 0.043264 , 0.001481 , 0.000850 , 0.000822 , 0.000460 , 0.000000 , 0.000000 , 0.000985 , 0.000640 , 0.000638 , 0.000422 , 0.000000 , 0.000000 , 0.000925 , 0.000556 , 0.000558 , 0.000140 , 0.000000 , 0.000000 , 0.000860 , 0.000515 , 0.000528 , 0.000140 , 0.000000 , 0.000000 , 0.621130 , 0.057007 , 0.000000 , 0.000000 , 0.000000 , 0.019069 , 0.726169 , 0.177241 , 0.166492 , 0.000011 , 0.000000 , 0.010792 , 0.999967 , 0.624912 , 0.617853 , 0.111661 , 0.000000 , 0.026066 , 0.002955 , 0.001921 , 0.001915 , 0.001266 , 0.000000 , 0.000000 , 0.000530 , 0.000366 , 0.000364 , 0.000213 , 0.000000 , 0.000000 , 0.000515 , 0.000336 , 0.000333 , 0.000216 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00004.vtp , 0.000000 , 0.000000 , NAN , 0.000000 , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00005.vtp , 2181.000000 , 31.000000 , 61.804477 , 0.000000 , 9563.099609 , 3753.867224 , 3663.617676 , 0.031623 , 0.000000 , 4643790.466663 , 0.743522 , 0.291417 , 0.267665 , 0.081758 , 0.000000 , 0.021231 , 0.906668 , 0.332885 , 0.287244 , 0.007677 , 0.000000 , 0.041066 , 1.000000 , 1.000000 , 1.000000 , 1.000000 , 0.000000 , 0.000000 , 0.743522 , 0.291417 , 0.267665 , 0.081758 , 0.000000 , 0.021231 , 0.778993 , 0.372844 , 0.360814 , 0.129658 , 0.000000 , 0.022498 , 0.001442 , 0.000848 , 0.000838 , 0.000517 , 0.000000 , 0.000000 , 0.001125 , 0.000632 , 0.000614 , 0.000426 , 0.000000 , 0.000000 , 0.000966 , 0.000524 , 0.000513 , 0.000205 , 0.000000 , 0.000000 , 0.000966 , 0.000524 , 0.000513 , 0.000205 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.540211 , 0.178172 , 0.158365 , 0.047309 , 0.000000 , 0.009452 , 0.870342 , 0.627156 , 0.639186 , 0.221007 , 0.000000 , 0.022498 , 0.003374 , 0.001895 , 0.001842 , 0.001278 , 0.000000 , 0.000000 , 0.906668 , 0.332885 , 0.287244 , 0.007677 , 0.000000 , 0.041066 , 0.913437 , 0.402116 , 0.377846 , 0.000000 , 0.000000 , 0.041783 , 0.001540 , 0.000874 , 0.000851 , 0.000602 , 0.000000 , 0.000000 , 0.000987 , 0.000624 , 0.000615 , 0.000380 , 0.000000 , 0.000000 , 0.001077 , 0.000502 , 0.000504 , 0.000099 , 0.000000 , 0.000000 , 0.000929 , 0.000496 , 0.000502 , 0.000099 , 0.000000 , 0.000000 , 0.720871 , 0.006964 , 0.000000 , 0.000000 , 0.000000 , 0.002850 , 0.778634 , 0.214515 , 0.170599 , 0.004432 , 0.000000 , 0.024878 , 0.986820 , 0.590920 , 0.617938 , 0.086563 , 0.000000 , 0.039030 , 0.002960 , 0.001872 , 0.001844 , 0.001140 , 0.000000 , 0.000000 , 0.000498 , 0.000342 , 0.000346 , 0.000189 , 0.000000 , 0.000000 , 0.000559 , 0.000348 , 0.000345 , 0.000215 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00006.vtp , 21231.000000 , 176.000000 , 107.051068 , 0.000000 , 12230.904297 , 4496.298009 , 4697.974609 , 0.031623 , 0.000000 , 4471620.903432 , 0.909231 , 0.456357 , 0.455786 , 0.080170 , 0.000000 , 0.036189 , 0.914879 , 0.435976 , 0.448514 , 0.000071 , 0.000000 , 0.043254 , 1.000000 , 1.000000 , 1.000000 , 1.000000 , 0.000000 , 0.000000 , 0.909231 , 0.456357 , 0.455786 , 0.080170 , 0.000000 , 0.036189 , 0.915673 , 0.530377 , 0.542771 , 0.127343 , 0.000000 , 0.030790 , 0.001569 , 0.000997 , 0.001001 , 0.000551 , 0.000000 , 0.000000 , 0.001333 , 0.000634 , 0.000621 , 0.000411 , 0.000000 , 0.000000 , 0.001240 , 0.000453 , 0.000443 , 0.000121 , 0.000000 , 0.000000 , 0.001240 , 0.000453 , 0.000443 , 0.000121 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.783528 , 0.299929 , 0.283512 , 0.046386 , 0.000000 , 0.022318 , 0.872657 , 0.469623 , 0.457229 , 0.084327 , 0.000000 , 0.030790 , 0.003998 , 0.001903 , 0.001864 , 0.001233 , 0.000000 , 0.000000 , 0.914879 , 0.435976 , 0.448514 , 0.000071 , 0.000000 , 0.043254 , 0.920625 , 0.501412 , 0.536338 , 0.000000 , 0.000000 , 0.043875 , 0.001475 , 0.000991 , 0.000974 , 0.000189 , 0.000000 , 0.000000 , 0.000987 , 0.000640 , 0.000640 , 0.000149 , 0.000000 , 0.000000 , 0.000982 , 0.000467 , 0.000457 , 0.000101 , 0.000000 , 0.000000 , 0.000924 , 0.000462 , 0.000454 , 0.000101 , 0.000000 , 0.000000 , 0.602397 , 0.006650 , 0.000000 , 0.000000 , 0.000000 , 0.002525 , 0.794498 , 0.286503 , 0.278282 , 0.000041 , 0.000000 , 0.024954 , 0.999878 , 0.491938 , 0.462545 , 0.079375 , 0.000000 , 0.039730 , 0.002961 , 0.001920 , 0.001920 , 0.000447 , 0.000000 , 0.000000 , 0.000517 , 0.000342 , 0.000342 , 0.000159 , 0.000000 , 0.000000 , 0.001423 , 0.000339 , 0.000332 , 0.000215 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00007.vtp , 36902.000000 , 325.000000 , 100.673849 , 0.000000 , 9550.471680 , 4619.129988 , 5093.340576 , 0.031623 , 0.000000 , 4597803.592873 , 0.902928 , 0.413282 , 0.384487 , 0.080002 , 0.000000 , 0.039954 , 0.927382 , 0.452852 , 0.436760 , 0.000150 , 0.000000 , 0.050656 , 1.000000 , 1.000000 , 1.000000 , 1.000000 , 0.000000 , 0.000000 , 0.902928 , 0.413282 , 0.384487 , 0.080002 , 0.000000 , 0.039954 , 0.910183 , 0.489418 , 0.477928 , 0.127098 , 0.000000 , 0.034456 , 0.001272 , 0.000934 , 0.000948 , 0.000130 , 0.000000 , 0.000000 , 0.000950 , 0.000619 , 0.000621 , 0.000112 , 0.000000 , 0.000000 , 0.000883 , 0.000462 , 0.000476 , 0.000099 , 0.000000 , 0.000000 , 0.000883 , 0.000462 , 0.000476 , 0.000099 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.771581 , 0.270753 , 0.233804 , 0.046288 , 0.000000 , 0.025570 , 0.872902 , 0.510582 , 0.522072 , 0.089817 , 0.000000 , 0.034456 , 0.002850 , 0.001857 , 0.001862 , 0.000336 , 0.000000 , 0.000000 , 0.927398 , 0.452852 , 0.436760 , 0.000150 , 0.000000 , 0.050656 , 0.931712 , 0.518724 , 0.525859 , 0.000000 , 0.000000 , 0.047012 , 0.001842 , 0.001024 , 0.001061 , 0.000492 , 0.000000 , 0.000000 , 0.001212 , 0.000650 , 0.000627 , 0.000371 , 0.000000 , 0.000000 , 0.001034 , 0.000465 , 0.000461 , 0.000098 , 0.000000 , 0.000000 , 0.001004 , 0.000462 , 0.000461 , 0.000098 , 0.000000 , 0.000000 , 0.460638 , 0.003237 , 0.000000 , 0.000000 , 0.000000 , 0.000674 , 0.819754 , 0.304578 , 0.269909 , 0.000086 , 0.000000 , 0.032707 , 0.999741 , 0.478039 , 0.474141 , 0.068288 , 0.000000 , 0.044327 , 0.003636 , 0.001951 , 0.001882 , 0.001112 , 0.000000 , 0.000000 , 0.001897 , 0.000351 , 0.000342 , 0.000223 , 0.000000 , 0.000000 , 0.000573 , 0.000335 , 0.000338 , 0.000175 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00008.vtp , 18775.000000 , 191.000000 , 86.953051 , 0.000000 , 10182.591797 , 4121.731225 , 4262.604492 , 0.031623 , 0.000000 , 4246155.198491 , 0.915857 , 0.425165 , 0.414349 , 0.080053 , 0.000000 , 0.034646 , 0.907261 , 0.436745 , 0.438789 , 0.000089 , 0.000000 , 0.037154 , 1.000000 , 1.000000 , 1.000000 , 1.000000 , 0.000000 , 0.000000 , 0.915857 , 0.425165 , 0.414349 , 0.080053 , 0.000000 , 0.034647 , 0.921486 , 0.501976 , 0.505588 , 0.127172 , 0.000000 , 0.030137 , 0.001352 , 0.000939 , 0.000934 , 0.000501 , 0.000000 , 0.000000 , 0.000985 , 0.000614 , 0.000604 , 0.000413 , 0.000000 , 0.000000 , 0.000936 , 0.000452 , 0.000455 , 0.000097 , 0.000000 , 0.000000 , 0.000936 , 0.000452 , 0.000455 , 0.000097 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.796425 , 0.275966 , 0.254215 , 0.046318 , 0.000000 , 0.020766 , 0.872828 , 0.498024 , 0.494412 , 0.078514 , 0.000000 , 0.030137 , 0.002954 , 0.001842 , 0.001811 , 0.001238 , 0.000000 , 0.000000 , 0.907261 , 0.436745 , 0.438789 , 0.000089 , 0.000000 , 0.037154 , 0.913954 , 0.508186 , 0.527676 , 0.000000 , 0.000000 , 0.035685 , 0.001547 , 0.000997 , 0.000970 , 0.000466 , 0.000000 , 0.000000 , 0.001030 , 0.000643 , 0.000624 , 0.000364 , 0.000000 , 0.000000 , 0.000925 , 0.000468 , 0.000454 , 0.000103 , 0.000000 , 0.000000 , 0.000925 , 0.000465 , 0.000453 , 0.000103 , 0.000000 , 0.000000 , 0.438275 , 0.003129 , 0.000000 , 0.000000 , 0.000000 , 0.000831 , 0.779762 , 0.285070 , 0.271347 , 0.000051 , 0.000000 , 0.021996 , 0.999847 , 0.488684 , 0.472325 , 0.086046 , 0.000000 , 0.033335 , 0.003090 , 0.001930 , 0.001871 , 0.001093 , 0.000000 , 0.000000 , 0.000514 , 0.000351 , 0.000352 , 0.000216 , 0.000000 , 0.000000 , 0.000583 , 0.000338 , 0.000341 , 0.000206 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00009.vtp , 0.000000 , 0.000000 , NAN , 0.000000 , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN
/home/ubuntu/data/sub-NDARINVTKEBT1ZB/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_left_hemisphere/cluster_00010.vtp , 44175.000000 , 488.000000 , 79.952933 , 0.000000 , 9409.517578 , 4101.946026 , 4333.513672 , 0.031623 , 0.000000 , 3995163.516557 , 0.920333 , 0.494798 , 0.480341 , 0.080062 , 0.000000 , 0.052437 , 0.871933 , 0.315847 , 0.301636 , 0.000086 , 0.000000 , 0.026319 , 1.000000 , 1.000000 , 1.000000 , 1.000000 , 0.000000 , 0.000000 , 0.920333 , 0.494799 , 0.480341 , 0.080062 , 0.000000 , 0.052438 , 0.925436 , 0.560925 , 0.564231 , 0.127185 , 0.000000 , 0.043248 , 0.001582 , 0.000974 , 0.000957 , 0.000550 , 0.000000 , 0.000000 , 0.000998 , 0.000594 , 0.000592 , 0.000362 , 0.000000 , 0.000000 , 0.000918 , 0.000404 , 0.000417 , 0.000099 , 0.000000 , 0.000000 , 0.000918 , 0.000404 , 0.000417 , 0.000099 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.805337 , 0.340318 , 0.301479 , 0.046323 , 0.000000 , 0.037190 , 0.872815 , 0.439075 , 0.435769 , 0.074564 , 0.000000 , 0.043248 , 0.002994 , 0.001781 , 0.001775 , 0.001086 , 0.000000 , 0.000000 , 0.871933 , 0.315847 , 0.301636 , 0.000086 , 0.000000 , 0.026319 , 0.883657 , 0.364881 , 0.386540 , 0.000000 , 0.000000 , 0.040813 , 0.001228 , 0.000860 , 0.000869 , 0.000371 , 0.000000 , 0.000000 , 0.000933 , 0.000631 , 0.000633 , 0.000357 , 0.000000 , 0.000000 , 0.000949 , 0.000528 , 0.000535 , 0.000120 , 0.000000 , 0.000000 , 0.000899 , 0.000504 , 0.000513 , 0.000120 , 0.000000 , 0.000000 , 0.739777 , 0.034628 , 0.000000 , 0.000000 , 0.000000 , 0.012085 , 0.716854 , 0.195490 , 0.179684 , 0.000050 , 0.000000 , 0.012237 , 0.999851 , 0.600490 , 0.598609 , 0.116343 , 0.000000 , 0.027627 , 0.002798 , 0.001892 , 0.001898 , 0.001072 , 0.000000 , 0.000000 , 0.000586 , 0.000366 , 0.000359 , 0.000213 , 0.000000 , 0.000000 , 0.000594 , 0.000341 , 0.000336 , 0.000228 , 0.000000 , 0.000000
