Name , Num_Points , Num_Fibers , Mean_Length , Num_Clamp_Excluded , EstimatedUncertainty.Max , EstimatedUncertainty.Mean , EstimatedUncertainty.Median , EstimatedUncertainty.Min , EstimatedUncertainty.NAN , EstimatedUncertainty.Variance , FA1.Max , FA1.Mean , FA1.Median , FA1.Min , FA1.NAN , FA1.Variance , FA2.Max , FA2.Mean , FA2.Median , FA2.Min , FA2.NAN , FA2.Variance , HemisphereLocataion.Max , HemisphereLocataion.Mean , HemisphereLocataion.Median , HemisphereLocataion.Min , HemisphereLocataion.NAN , HemisphereLocataion.Variance , tensor1.FractionalAnisotropy.Max , tensor1.FractionalAnisotropy.Mean , tensor1.FractionalAnisotropy.Median , tensor1.FractionalAnisotropy.Min , tensor1.FractionalAnisotropy.NAN , tensor1.FractionalAnisotropy.Variance , tensor1.LinearMeasure.Max , tensor1.LinearMeasure.Mean , tensor1.LinearMeasure.Median , tensor1.LinearMeasure.Min , tensor1.LinearMeasure.NAN , tensor1.LinearMeasure.Variance , tensor1.MaxEigenvalue.Max , tensor1.MaxEigenvalue.Mean , tensor1.MaxEigenvalue.Median , tensor1.MaxEigenvalue.Min , tensor1.MaxEigenvalue.NAN , tensor1.MaxEigenvalue.Variance , tensor1.MeanDiffusivity.Max , tensor1.MeanDiffusivity.Mean , tensor1.MeanDiffusivity.Median , tensor1.MeanDiffusivity.Min , tensor1.MeanDiffusivity.NAN , tensor1.MeanDiffusivity.Variance , tensor1.MidEigenvalue.Max , tensor1.MidEigenvalue.Mean , tensor1.MidEigenvalue.Median , tensor1.MidEigenvalue.Min , tensor1.MidEigenvalue.NAN , tensor1.MidEigenvalue.Variance , tensor1.MinEigenvalue.Max , tensor1.MinEigenvalue.Mean , tensor1.MinEigenvalue.Median , tensor1.MinEigenvalue.Min , tensor1.MinEigenvalue.NAN , tensor1.MinEigenvalue.Variance , tensor1.PlanarMeasure.Max , tensor1.PlanarMeasure.Mean , tensor1.PlanarMeasure.Median , tensor1.PlanarMeasure.Min , tensor1.PlanarMeasure.NAN , tensor1.PlanarMeasure.Variance , tensor1.RelativeAnisotropy.Max , tensor1.RelativeAnisotropy.Mean , tensor1.RelativeAnisotropy.Median , tensor1.RelativeAnisotropy.Min , tensor1.RelativeAnisotropy.NAN , tensor1.RelativeAnisotropy.Variance , tensor1.SphericalMeasure.Max , tensor1.SphericalMeasure.Mean , tensor1.SphericalMeasure.Median , tensor1.SphericalMeasure.Min , tensor1.SphericalMeasure.NAN , tensor1.SphericalMeasure.Variance , tensor1.Trace.Max , tensor1.Trace.Mean , tensor1.Trace.Median , tensor1.Trace.Min , tensor1.Trace.NAN , tensor1.Trace.Variance , tensor2.FractionalAnisotropy.Max , tensor2.FractionalAnisotropy.Mean , tensor2.FractionalAnisotropy.Median , tensor2.FractionalAnisotropy.Min , tensor2.FractionalAnisotropy.NAN , tensor2.FractionalAnisotropy.Variance , tensor2.LinearMeasure.Max , tensor2.LinearMeasure.Mean , tensor2.LinearMeasure.Median , tensor2.LinearMeasure.Min , tensor2.LinearMeasure.NAN , tensor2.LinearMeasure.Variance , tensor2.MaxEigenvalue.Max , tensor2.MaxEigenvalue.Mean , tensor2.MaxEigenvalue.Median , tensor2.MaxEigenvalue.Min , tensor2.MaxEigenvalue.NAN , tensor2.MaxEigenvalue.Variance , tensor2.MeanDiffusivity.Max , tensor2.MeanDiffusivity.Mean , tensor2.MeanDiffusivity.Median , tensor2.MeanDiffusivity.Min , tensor2.MeanDiffusivity.NAN , tensor2.MeanDiffusivity.Variance , tensor2.MidEigenvalue.Max , tensor2.MidEigenvalue.Mean , tensor2.MidEigenvalue.Median , tensor2.MidEigenvalue.Min , tensor2.MidEigenvalue.NAN , tensor2.MidEigenvalue.Variance , tensor2.MinEigenvalue.Max , tensor2.MinEigenvalue.Mean , tensor2.MinEigenvalue.Median , tensor2.MinEigenvalue.Min , tensor2.MinEigenvalue.NAN , tensor2.MinEigenvalue.Variance , tensor2.PlanarMeasure.Max , tensor2.PlanarMeasure.Mean , tensor2.PlanarMeasure.Median , tensor2.PlanarMeasure.Min , tensor2.PlanarMeasure.NAN , tensor2.PlanarMeasure.Variance , tensor2.RelativeAnisotropy.Max , tensor2.RelativeAnisotropy.Mean , tensor2.RelativeAnisotropy.Median , tensor2.RelativeAnisotropy.Min , tensor2.RelativeAnisotropy.NAN , tensor2.RelativeAnisotropy.Variance , tensor2.SphericalMeasure.Max , tensor2.SphericalMeasure.Mean , tensor2.SphericalMeasure.Median , tensor2.SphericalMeasure.Min , tensor2.SphericalMeasure.NAN , tensor2.SphericalMeasure.Variance , tensor2.Trace.Max , tensor2.Trace.Mean , tensor2.Trace.Median , tensor2.Trace.Min , tensor2.Trace.NAN , tensor2.Trace.Variance , trace1.Max , trace1.Mean , trace1.Median , trace1.Min , trace1.NAN , trace1.Variance , trace2.Max , trace2.Mean , trace2.Median , trace2.Min , trace2.NAN , trace2.Variance
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00001.vtp , 8473.000000 , 92.000000 , 81.373237 , 0.000000 , 9989.478516 , 4366.155206 , 4540.593750 , 0.031623 , 0.000000 , 4782360.562094 , 0.811381 , 0.397065 , 0.389477 , 0.080773 , 0.000000 , 0.032253 , 0.903143 , 0.390979 , 0.366479 , 0.000492 , 0.000000 , 0.038666 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.811381 , 0.397065 , 0.389477 , 0.080773 , 0.000000 , 0.032253 , 0.833556 , 0.475350 , 0.482605 , 0.128223 , 0.000000 , 0.029425 , 0.001296 , 0.000937 , 0.000948 , 0.000591 , 0.000000 , 0.000000 , 0.000938 , 0.000630 , 0.000624 , 0.000428 , 0.000000 , 0.000000 , 0.000889 , 0.000476 , 0.000479 , 0.000179 , 0.000000 , 0.000000 , 0.000889 , 0.000476 , 0.000479 , 0.000179 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.625376 , 0.253502 , 0.237177 , 0.046736 , 0.000000 , 0.017106 , 0.871777 , 0.524650 , 0.517395 , 0.166444 , 0.000000 , 0.029425 , 0.002813 , 0.001889 , 0.001872 , 0.001284 , 0.000000 , 0.000000 , 0.903143 , 0.390979 , 0.366479 , 0.000492 , 0.000000 , 0.038666 , 0.910369 , 0.465087 , 0.459602 , 0.000000 , 0.000000 , 0.036271 , 0.001421 , 0.000935 , 0.000933 , 0.000584 , 0.000000 , 0.000000 , 0.000922 , 0.000631 , 0.000619 , 0.000439 , 0.000000 , 0.000000 , 0.000897 , 0.000480 , 0.000485 , 0.000118 , 0.000000 , 0.000000 , 0.000897 , 0.000478 , 0.000483 , 0.000118 , 0.000000 , 0.000000 , 0.597158 , 0.002374 , 0.000000 , 0.000000 , 0.000000 , 0.001120 , 0.771983 , 0.252420 , 0.221747 , 0.000284 , 0.000000 , 0.021886 , 0.999149 , 0.532540 , 0.538982 , 0.089631 , 0.000000 , 0.035182 , 0.002766 , 0.001893 , 0.001856 , 0.001316 , 0.000000 , 0.000000 , 0.000496 , 0.000342 , 0.000340 , 0.000226 , 0.000000 , 0.000000 , 0.000484 , 0.000342 , 0.000343 , 0.000230 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00002.vtp , 29253.000000 , 283.000000 , 91.516598 , 0.000000 , 10461.439453 , 4403.926533 , 4694.199707 , 0.031623 , 0.000000 , 4496786.365523 , 0.833860 , 0.383680 , 0.388778 , 0.080078 , 0.000000 , 0.021810 , 0.922291 , 0.516384 , 0.495890 , 0.000914 , 0.000000 , 0.055863 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.833860 , 0.383680 , 0.388778 , 0.080078 , 0.000000 , 0.021810 , 0.851943 , 0.466543 , 0.481951 , 0.127209 , 0.000000 , 0.020795 , 0.001435 , 0.000980 , 0.000983 , 0.000411 , 0.000000 , 0.000000 , 0.001137 , 0.000666 , 0.000657 , 0.000370 , 0.000000 , 0.000000 , 0.001055 , 0.000508 , 0.000501 , 0.000173 , 0.000000 , 0.000000 , 0.001055 , 0.000508 , 0.000501 , 0.000173 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.657306 , 0.239874 , 0.236703 , 0.046332 , 0.000000 , 0.010559 , 0.872791 , 0.533457 , 0.518049 , 0.148057 , 0.000000 , 0.020795 , 0.003410 , 0.001997 , 0.001972 , 0.001109 , 0.000000 , 0.000000 , 0.922291 , 0.516384 , 0.495890 , 0.000913 , 0.000000 , 0.055863 , 0.927170 , 0.579125 , 0.577623 , 0.000000 , 0.000000 , 0.045797 , 0.001471 , 0.001003 , 0.000991 , 0.000351 , 0.000000 , 0.000000 , 0.000954 , 0.000592 , 0.000576 , 0.000228 , 0.000000 , 0.000000 , 0.000913 , 0.000387 , 0.000390 , 0.000098 , 0.000000 , 0.000000 , 0.000913 , 0.000386 , 0.000390 , 0.000098 , 0.000000 , 0.000000 , 0.517603 , 0.000708 , 0.000000 , 0.000000 , 0.000000 , 0.000289 , 0.809290 , 0.361025 , 0.313116 , 0.000527 , 0.000000 , 0.041600 , 0.998419 , 0.420167 , 0.422377 , 0.072830 , 0.000000 , 0.045266 , 0.002862 , 0.001775 , 0.001729 , 0.000684 , 0.000000 , 0.000000 , 0.000575 , 0.000325 , 0.000323 , 0.000187 , 0.000000 , 0.000000 , 0.000931 , 0.000364 , 0.000368 , 0.000223 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00003.vtp , 21262.000000 , 221.000000 , 85.071590 , 0.000000 , 9586.675781 , 4343.523432 , 4558.647705 , 0.031623 , 0.000000 , 4722269.138383 , 0.864830 , 0.432896 , 0.436051 , 0.080315 , 0.000000 , 0.027376 , 0.918512 , 0.476124 , 0.475397 , 0.000741 , 0.000000 , 0.047658 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.864830 , 0.432896 , 0.436051 , 0.080315 , 0.000000 , 0.027376 , 0.877676 , 0.511318 , 0.525224 , 0.127554 , 0.000000 , 0.024282 , 0.001356 , 0.000991 , 0.000997 , 0.000582 , 0.000000 , 0.000000 , 0.000944 , 0.000645 , 0.000638 , 0.000440 , 0.000000 , 0.000000 , 0.000895 , 0.000471 , 0.000478 , 0.000147 , 0.000000 , 0.000000 , 0.000895 , 0.000471 , 0.000478 , 0.000147 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.705159 , 0.277584 , 0.269408 , 0.046470 , 0.000000 , 0.015093 , 0.872446 , 0.488682 , 0.474776 , 0.122324 , 0.000000 , 0.024282 , 0.002831 , 0.001934 , 0.001913 , 0.001320 , 0.000000 , 0.000000 , 0.918512 , 0.476124 , 0.475397 , 0.000741 , 0.000000 , 0.047658 , 0.923826 , 0.544716 , 0.559941 , 0.000000 , 0.000000 , 0.040254 , 0.001417 , 0.000997 , 0.000985 , 0.000582 , 0.000000 , 0.000000 , 0.001028 , 0.000618 , 0.000597 , 0.000467 , 0.000000 , 0.000000 , 0.000952 , 0.000429 , 0.000416 , 0.000107 , 0.000000 , 0.000000 , 0.000952 , 0.000428 , 0.000416 , 0.000107 , 0.000000 , 0.000000 , 0.485948 , 0.000566 , 0.000000 , 0.000000 , 0.000000 , 0.000218 , 0.801691 , 0.322365 , 0.297823 , 0.000428 , 0.000000 , 0.032738 , 0.998717 , 0.454718 , 0.440059 , 0.076174 , 0.000000 , 0.039856 , 0.003084 , 0.001853 , 0.001791 , 0.001401 , 0.000000 , 0.000000 , 0.000483 , 0.000336 , 0.000333 , 0.000225 , 0.000000 , 0.000000 , 0.000455 , 0.000349 , 0.000356 , 0.000207 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00004.vtp , 0.000000 , 0.000000 , NAN , 0.000000 , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00005.vtp , 5735.000000 , 84.000000 , 59.933471 , 0.000000 , 9183.053711 , 3520.520569 , 3496.504395 , 0.031623 , 0.000000 , 3846595.926856 , 0.901693 , 0.341546 , 0.326345 , 0.080174 , 0.000000 , 0.027415 , 0.923352 , 0.374224 , 0.347795 , 0.000315 , 0.000000 , 0.046171 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.901693 , 0.341546 , 0.326345 , 0.080174 , 0.000000 , 0.027415 , 0.909111 , 0.422674 , 0.421613 , 0.127349 , 0.000000 , 0.026517 , 0.001432 , 0.000894 , 0.000868 , 0.000435 , 0.000000 , 0.000000 , 0.001088 , 0.000633 , 0.000614 , 0.000321 , 0.000000 , 0.000000 , 0.000993 , 0.000503 , 0.000495 , 0.000122 , 0.000000 , 0.000000 , 0.000993 , 0.000503 , 0.000495 , 0.000122 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.769275 , 0.213829 , 0.195483 , 0.046388 , 0.000000 , 0.014331 , 0.872651 , 0.577326 , 0.578387 , 0.090889 , 0.000000 , 0.026517 , 0.003265 , 0.001899 , 0.001843 , 0.000963 , 0.000000 , 0.000000 , 0.923352 , 0.374226 , 0.347795 , 0.000315 , 0.000000 , 0.046173 , 0.928112 , 0.445968 , 0.442800 , 0.000000 , 0.000000 , 0.044216 , 0.001697 , 0.000918 , 0.000878 , 0.000455 , 0.000000 , 0.000000 , 0.001028 , 0.000628 , 0.000611 , 0.000390 , 0.000000 , 0.000000 , 0.000968 , 0.000483 , 0.000483 , 0.000097 , 0.000000 , 0.000000 , 0.000966 , 0.000481 , 0.000483 , 0.000097 , 0.000000 , 0.000000 , 0.389288 , 0.002528 , 0.000000 , 0.000000 , 0.000000 , 0.000458 , 0.811445 , 0.245939 , 0.209421 , 0.000182 , 0.000000 , 0.030122 , 0.999455 , 0.551504 , 0.557200 , 0.071888 , 0.000000 , 0.042418 , 0.003084 , 0.001883 , 0.001834 , 0.001170 , 0.000000 , 0.000000 , 0.000661 , 0.000341 , 0.000345 , 0.000195 , 0.000000 , 0.000000 , 0.000544 , 0.000346 , 0.000347 , 0.000207 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00006.vtp , 9348.000000 , 82.000000 , 101.086604 , 0.000000 , 10870.369141 , 4839.789088 , 5477.651611 , 0.031623 , 0.000000 , 4893707.046666 , 0.834046 , 0.454591 , 0.468822 , 0.080156 , 0.000000 , 0.025822 , 0.916459 , 0.521286 , 0.523630 , 0.000000 , 0.000000 , 0.050512 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.834046 , 0.454591 , 0.468822 , 0.080157 , 0.000000 , 0.025822 , 0.852096 , 0.531462 , 0.554212 , 0.127324 , 0.000000 , 0.023080 , 0.001564 , 0.001042 , 0.001078 , 0.000458 , 0.000000 , 0.000000 , 0.001130 , 0.000662 , 0.000652 , 0.000260 , 0.000000 , 0.000000 , 0.000992 , 0.000472 , 0.000471 , 0.000161 , 0.000000 , 0.000000 , 0.000992 , 0.000472 , 0.000471 , 0.000161 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.657579 , 0.292636 , 0.292990 , 0.046378 , 0.000000 , 0.014111 , 0.872676 , 0.468538 , 0.445788 , 0.147904 , 0.000000 , 0.023080 , 0.003391 , 0.001986 , 0.001957 , 0.000780 , 0.000000 , 0.000000 , 0.916459 , 0.521305 , 0.523630 , 0.000120 , 0.000000 , 0.050493 , 0.922016 , 0.584547 , 0.601177 , 0.000000 , 0.000000 , 0.042076 , 0.001501 , 0.001036 , 0.001043 , 0.000095 , 0.000000 , 0.000000 , 0.000942 , 0.000609 , 0.000596 , 0.000093 , 0.000000 , 0.000000 , 0.000906 , 0.000396 , 0.000397 , 0.000092 , 0.000000 , 0.000000 , 0.000906 , 0.000396 , 0.000397 , 0.000085 , 0.000000 , 0.000000 , 0.250006 , 0.000324 , 0.000000 , 0.000000 , 0.000000 , 0.000060 , 0.797613 , 0.361045 , 0.334424 , 0.000070 , 0.000000 , 0.036525 , 0.999791 , 0.415128 , 0.398823 , 0.077984 , 0.000000 , 0.041757 , 0.002826 , 0.001828 , 0.001788 , 0.000278 , 0.000000 , 0.000000 , 0.000817 , 0.000327 , 0.000325 , 0.000188 , 0.000000 , 0.000000 , 0.002123 , 0.000355 , 0.000356 , 0.000225 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00007.vtp , 12992.000000 , 133.000000 , 86.402628 , 0.000000 , 9797.721680 , 4533.045866 , 4727.243896 , 0.031623 , 0.000000 , 5403321.875889 , 0.845244 , 0.366880 , 0.368374 , 0.080029 , 0.000000 , 0.024441 , 0.911049 , 0.460702 , 0.468756 , 0.002510 , 0.000000 , 0.048988 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.845244 , 0.366880 , 0.368374 , 0.080029 , 0.000000 , 0.024441 , 0.861342 , 0.449237 , 0.462666 , 0.127137 , 0.000000 , 0.023284 , 0.001253 , 0.000951 , 0.000977 , 0.000581 , 0.000000 , 0.000000 , 0.001100 , 0.000658 , 0.000648 , 0.000467 , 0.000000 , 0.000000 , 0.001037 , 0.000512 , 0.000503 , 0.000166 , 0.000000 , 0.000000 , 0.001037 , 0.000512 , 0.000503 , 0.000166 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.674337 , 0.229612 , 0.223007 , 0.046304 , 0.000000 , 0.012352 , 0.872863 , 0.550763 , 0.537334 , 0.138658 , 0.000000 , 0.023284 , 0.003300 , 0.001974 , 0.001944 , 0.001401 , 0.000000 , 0.000000 , 0.911049 , 0.460702 , 0.468756 , 0.002510 , 0.000000 , 0.048988 , 0.917265 , 0.528986 , 0.554156 , 0.000000 , 0.000000 , 0.042878 , 0.001350 , 0.000947 , 0.000957 , 0.000580 , 0.000000 , 0.000000 , 0.000982 , 0.000597 , 0.000577 , 0.000433 , 0.000000 , 0.000000 , 0.000908 , 0.000422 , 0.000412 , 0.000109 , 0.000000 , 0.000000 , 0.000908 , 0.000422 , 0.000412 , 0.000109 , 0.000000 , 0.000000 , 0.074569 , 0.000044 , 0.000000 , 0.000000 , 0.000000 , 0.000002 , 0.787033 , 0.308333 , 0.292942 , 0.001449 , 0.000000 , 0.029522 , 0.995665 , 0.470970 , 0.445844 , 0.082736 , 0.000000 , 0.042833 , 0.002946 , 0.001791 , 0.001732 , 0.001300 , 0.000000 , 0.000000 , 0.000455 , 0.000328 , 0.000328 , 0.000193 , 0.000000 , 0.000000 , 0.000490 , 0.000362 , 0.000368 , 0.000216 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00008.vtp , 27270.000000 , 265.000000 , 91.100356 , 0.000000 , 9828.835938 , 4330.146196 , 4512.874023 , 0.031623 , 0.000000 , 4555447.839571 , 0.876309 , 0.456652 , 0.457070 , 0.080002 , 0.000000 , 0.027173 , 0.922628 , 0.541544 , 0.568777 , 0.001268 , 0.000000 , 0.045913 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.876309 , 0.456653 , 0.457070 , 0.080002 , 0.000000 , 0.027173 , 0.887358 , 0.533542 , 0.543903 , 0.127098 , 0.000000 , 0.023293 , 0.001394 , 0.001052 , 0.001073 , 0.000135 , 0.000000 , 0.000000 , 0.001103 , 0.000668 , 0.000657 , 0.000109 , 0.000000 , 0.000000 , 0.000978 , 0.000477 , 0.000483 , 0.000096 , 0.000000 , 0.000000 , 0.000978 , 0.000477 , 0.000483 , 0.000096 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.724206 , 0.295492 , 0.284439 , 0.046288 , 0.000000 , 0.015822 , 0.872902 , 0.466458 , 0.456097 , 0.112642 , 0.000000 , 0.023293 , 0.003310 , 0.002005 , 0.001972 , 0.000327 , 0.000000 , 0.000000 , 0.922628 , 0.541544 , 0.568777 , 0.001268 , 0.000000 , 0.045913 , 0.927469 , 0.604120 , 0.638717 , 0.000000 , 0.000000 , 0.037005 , 0.001576 , 0.001054 , 0.001055 , 0.000117 , 0.000000 , 0.000000 , 0.000970 , 0.000612 , 0.000599 , 0.000107 , 0.000000 , 0.000000 , 0.000890 , 0.000391 , 0.000376 , 0.000100 , 0.000000 , 0.000000 , 0.000890 , 0.000391 , 0.000376 , 0.000100 , 0.000000 , 0.000000 , 0.061760 , 0.000015 , 0.000000 , 0.000000 , 0.000000 , 0.000001 , 0.809974 , 0.375560 , 0.370794 , 0.000732 , 0.000000 , 0.033670 , 0.997807 , 0.395865 , 0.361283 , 0.072531 , 0.000000 , 0.036987 , 0.002910 , 0.001835 , 0.001797 , 0.000321 , 0.000000 , 0.000000 , 0.001982 , 0.000324 , 0.000323 , 0.000192 , 0.000000 , 0.000000 , 0.001903 , 0.000352 , 0.000354 , 0.000219 , 0.000000 , 0.000000
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00009.vtp , 0.000000 , 0.000000 , NAN , 0.000000 , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN , NAN , NAN , NAN , NAN , 0.000000 , NAN
/home/ubuntu/data/sub-NDARINVTKENUL3C/ses-baselineYear1Arm1/tractography/WhiteMatterClusters/tracts_right_hemisphere/cluster_00010.vtp , 48884.000000 , 531.000000 , 81.336891 , 0.000000 , 10309.286133 , 4276.935982 , 4366.091064 , 0.031623 , 0.000000 , 5000822.324235 , 0.880836 , 0.449790 , 0.457494 , 0.080282 , 0.000000 , 0.036041 , 0.858140 , 0.357335 , 0.339575 , 0.000033 , 0.000000 , 0.035296 , 2.000000 , 2.000000 , 2.000000 , 2.000000 , 0.000000 , 0.000000 , 0.880836 , 0.449790 , 0.457494 , 0.080282 , 0.000000 , 0.036041 , 0.891201 , 0.523689 , 0.544277 , 0.127507 , 0.000000 , 0.031415 , 0.001315 , 0.000936 , 0.000937 , 0.000492 , 0.000000 , 0.000000 , 0.000979 , 0.000599 , 0.000587 , 0.000418 , 0.000000 , 0.000000 , 0.000933 , 0.000430 , 0.000423 , 0.000125 , 0.000000 , 0.000000 , 0.000933 , 0.000430 , 0.000423 , 0.000125 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.731934 , 0.293791 , 0.284746 , 0.046451 , 0.000000 , 0.020575 , 0.872493 , 0.476311 , 0.455723 , 0.108799 , 0.000000 , 0.031415 , 0.002936 , 0.001797 , 0.001760 , 0.001254 , 0.000000 , 0.000000 , 0.858140 , 0.357335 , 0.339575 , 0.000033 , 0.000000 , 0.035296 , 0.872071 , 0.428950 , 0.433683 , 0.000000 , 0.000000 , 0.037552 , 0.001334 , 0.000930 , 0.000924 , 0.000523 , 0.000000 , 0.000000 , 0.001048 , 0.000651 , 0.000649 , 0.000408 , 0.000000 , 0.000000 , 0.001032 , 0.000513 , 0.000510 , 0.000147 , 0.000000 , 0.000000 , 0.000953 , 0.000509 , 0.000508 , 0.000131 , 0.000000 , 0.000000 , 0.791397 , 0.005866 , 0.000000 , 0.000000 , 0.000000 , 0.001960 , 0.694403 , 0.226739 , 0.204054 , 0.000019 , 0.000000 , 0.018186 , 0.999944 , 0.565184 , 0.564755 , 0.127929 , 0.000000 , 0.034480 , 0.003143 , 0.001953 , 0.001947 , 0.001225 , 0.000000 , 0.000000 , 0.000508 , 0.000360 , 0.000362 , 0.000217 , 0.000000 , 0.000000 , 0.000520 , 0.000333 , 0.000327 , 0.000203 , 0.000000 , 0.000000
